account.py: account_bp (name=account, url_prefix=None)
agent_local.py: agent_bp (name=agent_local, url_prefix=None)
asistente_ia.py: asistente_bp (name=asistente, url_prefix=None)
asistente_ia_backup.py: asistente_bp (name=asistente, url_prefix=None)
auth.py: auth_bp (name=auth, url_prefix=None)
cart.py: cart_bp (name=cart, url_prefix=/cart)
control_documentos.py: documentos_bp (name=documentos, url_prefix=None)
cotizacion_inteligente.py: cotizacion_bp (name=cotizacion, url_prefix=None)
equipos.py: equipos_bp (name=equipos, url_prefix=None)
equipos_new.py: equipos_new_bp (name=equipos_new, url_prefix=/equipos)
events_service.py: events_bp (name=events, url_prefix=None)
inventario.py: inventario_bp (name=inventario, url_prefix=None)
inventario_new.py: inventario_new_bp (name=inventario_new, url_prefix=None)
market.py: market_bp (name=market, url_prefix=/market)
marketplace.py: marketplace_bp (name=marketplace, url_prefix=/market)
marketplace/routes.py: bp (name=marketplace, url_prefix=None)
marketplace_new.py: marketplace_new_bp (name=marketplace_new, url_prefix=None)
marketplace_payments.py: payments_bp (name=payments, url_prefix=None)
marketplaces.py: marketplaces_bp (name=marketplaces, url_prefix=None)
obras.py: obras_bp (name=obras, url_prefix=None)
onboarding.py: onboarding_bp (name=onboarding, url_prefix=None)
orders.py: orders_bp (name=orders, url_prefix=/orders)
planes.py: planes_bp (name=planes, url_prefix=/planes)
presupuestos.py: presupuestos_bp (name=presupuestos, url_prefix=None)
reportes.py: reportes_bp (name=reportes, url_prefix=None)
reports_service.py: reports_bp (name=reports, url_prefix=None)
seguridad_cumplimiento.py: seguridad_bp (name=seguridad, url_prefix=None)
supplier_auth.py: supplier_auth_bp (name=supplier_auth, url_prefix=/proveedor)
supplier_portal.py: supplier_portal_bp (name=supplier_portal, url_prefix=/proveedor)
